"row","name","abv","ibu","style","brewery"
"34","Busch Beer",0.043,16,"Lager - North American Adjunct","Anheuser-Busch"
"35","Budweiser Select",0.043,11,"Lager - American Light","Anheuser-Busch"
"36","Wild Blue",0.08,15,"Fruit Beer","Anheuser-Busch"
"37","ZiegenBock Texas Amber",0.049,19,"Lager - American Amber / Red","Anheuser-Busch"
"38","Michelob Golden Draft Light",0.041,15,"Lager - American Light","Anheuser-Busch"
"39","Budweiser Black Crown",0.06,15,"Lager - American Amber / Red","Anheuser-Busch"
"40","Bud Light Lime Lime-A-Rita",0.08,14,"Fruit Beer","Anheuser-Busch"
"41","Budweiser Reserve Copper Lager",0.062,24,"Lager - Amber","Anheuser-Busch"
"42","Natural Ice",0.059,5,"Lager - North American Adjunct","Anheuser-Busch"
"43","Bud Light Lime Straw-Ber-Rita",0.08,22,"Fruit Beer","Anheuser-Busch"
"44","Bud Light Orange",0.042,15,"Lager - American Light","Anheuser-Busch"
"45","Johnny Appleseed",0.055,28,"Cider - Other","Anheuser-Busch"
"46","Budweiser Freedom Reserve",0.054,19,"Lager - American Amber / Red","Anheuser-Busch"
"47","Redbridge",0.04,22,"Gluten-Free","Anheuser-Busch"
"48","Bud Ice",0.055,15,"Lager - North American Adjunct","Anheuser-Busch"
"49","Michelob Light",0.041,15,"Lager - American Light","Anheuser-Busch"
"50","Michelob ULTRA Lime Cactus",0.04,15,"Lager - American Light","Anheuser-Busch"
"51","Budweiser Select 55",0.032,15,"Lager - American Light","Anheuser-Busch"
"52","Bud Light Lime Mang-O-Rita",0.08,14,"Fruit Beer","Anheuser-Busch"
"53","Busch Signature Copper Lager",0.057,19,"Lager - American Amber / Red","Anheuser-Busch"
"54","Budweiser 1933 Repeal Reserve Amber Lager",0.061,17,"Lager - American Amber / Red","Anheuser-Busch"
"55","Bud Light & Clamato Chelada",0.042,28,"Spiced / Herbed Beer","Anheuser-Busch"
"56","Michelob Lager",0.05,18,"Lager - Pale","Anheuser-Busch"
"57","Bud Light Lime Raz-Ber-Rita",0.08,14,"Fruit Beer","Anheuser-Busch"
"58","Safari Amber",0.05,24,"Red Ale - American Amber / Red","Anheuser-Busch"
"59","O'Doul's Premium",0.002,5,"Non-Alcoholic Beer","Anheuser-Busch"
"60","Natty Daddy",0.08,22,"Lager - Pale","Anheuser-Busch"
"61","King Cobra Malt Liquor",0.06,8,"Malt Liquor ","Anheuser-Busch"
"62","Bud Light Lime Lemon-Ade-Rita",0.08,14,"Fruit Beer","Anheuser-Busch"
"63","Michelob ULTRA Amber",0.039,15,"Lager - American Light","Anheuser-Busch"
"64","Aruba Red",0.04,24,"Red Ale - American Amber / Red","Anheuser-Busch"
"65","Hurricane High Gravity Lager",0.081,8,"Malt Liquor ","Anheuser-Busch"
"66","Michelob Ultra Pure Gold",0.038,15,"Lager - American Light","Anheuser-Busch"
"67","Budweiser & Clamato Chelada",0.05,28,"Spiced / Herbed Beer","Anheuser-Busch"
"68","Michelob Ultra Light Cider",0.04,28,"Cider - Other","Anheuser-Busch"
"69","Bud Light Apple",0.04,15,"Lager - American Light","Anheuser-Busch"
"70","Busch Ice",0.059,16,"Lager - North American Adjunct","Anheuser-Busch"
"71","Bud Light Lime Apple-Ahhh-Rita",0.08,14,"Fruit Beer","Anheuser-Busch"
"72","Bones Brew",0.051,24,"Red Ale - American Amber / Red","Anheuser-Busch"
"73","O'Doul's Amber",0.002,18,"Non-Alcoholic Beer","Anheuser-Busch"
"74","Bud Light Lime Water-Melon-Rita",0.08,14,"Fruit Beer","Anheuser-Busch"
"75","Bud Light MIXXTAIL Long Island",0.08,28,"Malt Beer","Anheuser-Busch"
"76","Bud Light MIXXTAIL Hurricane",0.08,28,"Malt Beer","Anheuser-Busch"
"77","Budweiser & Clamato Chelada Picante",0.05,28,"Spiced / Herbed Beer","Anheuser-Busch"
"78","Michelob Golden Draft",0.046,16,"Lager - North American Adjunct","Anheuser-Busch"
"79","Budweiser Prohibition Brew",5e-04,15,"Non-Alcoholic Beer","Anheuser-Busch"
"80","Bud Light MIXXTAIL Firewalker",0.08,28,"Malt Beer","Anheuser-Busch"
"81","Faust",0.055,32,"Pilsner - Other","Anheuser-Busch"
"82","Bud Light Lime Peach-A-Rita",0.08,14,"Fruit Beer","Anheuser-Busch"
"83","Old Blue Last",0.05,18,"Lager - American Light","Anheuser-Busch"
"84","Busch NA",0.004,15,"Non-Alcoholic Beer","Anheuser-Busch"
"85","Bud Light Lime Grape-Ahh-Rita",0.08,14,"Fruit Beer","Anheuser-Busch"
"86","Hurricane",0.081,8,"Malt Liquor ","Anheuser-Busch"
"87","Bud Light Pine-Apple-Rita Splash",0.08,8,"Malt Liquor ","Anheuser-Busch"
"88","ZiegenBock Duneskier",0.055,19,"Lager - American Amber / Red","Anheuser-Busch"
"89","ZiegenBock Texas Kolsch",0.045,21,"Kölsch","Anheuser-Busch"
"90","Bud Light & Clamato Chelada Extra Lime",0.042,28,"Spiced / Herbed Beer","Anheuser-Busch"
"91","Budweiser 4.4%",0.044,10,"Lager - American Light","Anheuser-Busch"
"92","Bud Light Lime Cherry-Ahh-Rita",0.08,14,"Fruit Beer","Anheuser-Busch"
"93","Bud Light Lime Straw-Ber-Rita Splash",0.04,14,"Fruit Beer","Anheuser-Busch"
"94","Johnny Appleseed Caramel Hard Apple Cider",0.055,28,"Cider - Other","Anheuser-Busch"
"95","Budweiser Brew '66'",0.04,22,"Lager - Pale","Anheuser-Busch"
"96","Bud Light Lemonade Radler",0.024,28,"Shandy / Radler","Anheuser-Busch"
"97","Bud Light Lime Lime-A-Rita Splash",0.04,14,"Fruit Beer","Anheuser-Busch"
"98","Johnny Appleseed Spiced Hard Apple Cider",0.055,28,"Cider - Other","Anheuser-Busch"
"99","Tomahawk Amber Bock",0.05,18,"Bock - Single / Traditional","Anheuser-Busch"
"100","Natty RUSH Blue Frostbite",0.08,8,"Malt Liquor ","Anheuser-Busch"
"101","Natty RUSH Hurricane Punch",0.08,28,"Malt Beer","Anheuser-Busch"
"102","Natty RUSH Watermelon Smash",0.08,28,"Malt Beer","Anheuser-Busch"
"103","Bud Light Lime Pome-Granate-Rita",0.08,8,"Malt Liquor ","Anheuser-Busch"
"104","Budweiser Magnum",0.08,22,"Lager - Pale","Anheuser-Busch"
"105","Sonny's Red Ale",0.048,26,"Red Ale - Irish","Anheuser-Busch"
"106","Bud Light Lime Coco-Nut-Rita",0.08,8,"Malt Liquor ","Anheuser-Busch"
"107","Texas Amber",0.049,24,"Lager - Amber","Anheuser-Busch"
"108","Bud Light Lime Mojito",0.04,28,"Shandy / Radler","Anheuser-Busch"
"109","Bud Light Berry A Rita",0.08,28,"Malt Beer","Anheuser-Busch"
"110","Bud Light Lime Orange-A-Rita",0.08,8,"Malt Liquor ","Anheuser-Busch"
"111","Budweiser Shot",0.07,8,"Malt Liquor ","Anheuser-Busch"
"112","Cowboy Jacks Amber Ale",0.049,24,"Red Ale - American Amber / Red","Anheuser-Busch"
"113","Rix Red Lager",0.05,24,"Red Ale - American Amber / Red","Anheuser-Busch"
"114","Budweiser Supreme",0.036,16,"Lager - North American Adjunct","Anheuser-Busch"
"115","Natural Light Naturdays",0.042,15,"Lager - American Light","Anheuser-Busch"
"116","Budweiser NA",0.004,15,"Non-Alcoholic Beer","Anheuser-Busch"
"117","Bud Light Blends Lemon",0.035,28,"Shandy / Radler","Anheuser-Busch"
"118","Johnny Appleseed Vanilla",0.055,28,"Cider - Other","Anheuser-Busch"
"119","Bud Light Blends Grapefruit",0.035,28,"Shandy / Radler","Anheuser-Busch"
"120","Bud Light 3.5%",0.035,27,"Lager - American Light","Anheuser-Busch"
"121","Lucky Streak",0.042,4,"Golden Ale","Anheuser-Busch"
"122","Kingdom Red Ale",0.05,24,"Red Ale - American Amber / Red","Anheuser-Busch"
"123","Bud Light Lime Grape-Fruit-Rita",0.08,8,"Malt Liquor ","Anheuser-Busch"
"124","Capt Tony's Amber Ale",0.049,24,"Red Ale - American Amber / Red","Anheuser-Busch"
"125","PJ's Panama Red",0.053,24,"Red Ale - American Amber / Red","Anheuser-Busch"
"126","Red Fox Amber Ale",0.049,24,"Red Ale - American Amber / Red","Anheuser-Busch"
"127","The Crew Brew",0.049,24,"Red Ale - American Amber / Red","Anheuser-Busch"
"128","Underground Collection: Big DIPA",0.067,65,"IPA - Imperial / Double","Anheuser-Busch"
"129","Seasonal",0.065,28,"Dark Ale","Anheuser-Busch"
"130","Cardinals Nation Brew",0.04,18,"Bock - Single / Traditional","Anheuser-Busch"
"131","Underground Collection: Dark Vader",0.091,44,"Stout - American","Anheuser-Busch"
"132","49th Annual Denver Oktoberfest Brew",0.053,28,"Bock - Maibock / Heller (Helles) / Lentebock","Anheuser-Busch"
"133","Archers Ale",0.06,5,"Extra Special / Strong Bitter","Anheuser-Busch"
"134","Conor's Amber",0.05,28,"Dark Ale","Anheuser-Busch"
"135","Bud Light Coco-Nut-Rita Splash",0.04,8,"Malt Liquor ","Anheuser-Busch"
"136","Pacific Ridge Pale Ale",0.06,36,"Pale Ale - American","Anheuser-Busch"
"137","Demon's Hop Yard IPA",0.064,70,"IPA - American","Anheuser-Busch"
"138","Beer On Fire",0.049,24,"Red Ale - American Amber / Red","Anheuser-Busch"
"139","Michelob Music City Ale",0.055,36,"Pale Ale - American","Anheuser-Busch"
"140","Underground Collection: Heisenberg",0.065,18,"Saison / Farmhouse Ale","Anheuser-Busch"
"141","Underground Collection: Gilligan",0.061,38,"Porter - American","Anheuser-Busch"
"142","Dusty's Bull Brew",0.055,46,"IPA - Session / India Session Ale","Anheuser-Busch"
"143","Budweiser NA Green Apple",0.004,15,"Non-Alcoholic Beer","Anheuser-Busch"
"144","1029 Light",0.04,25,"Lager - American Light","Anheuser-Busch"
"145","Budweiser 4.5% UK",0.045,24,"Lager - Amber","Anheuser-Busch"
"146","Underground Collection: Training Day",0.053,35,"Stout - American","Anheuser-Busch"
"147","Underground Collection: Morello",0.05,15,"Lager - American Light","Anheuser-Busch"
"148","Underground Collection: Project Smokey",0.057,25,"Rauchbier","Anheuser-Busch"
"149","Sloppy Joe's Red Lager",0.05,19,"Lager - American Amber / Red","Anheuser-Busch"
"150","Clou De Girofle",0.06,33,"Saison / Farmhouse Ale","Anheuser-Busch"
"151","Underground Collection: Harvest Ale",0.056,15,"Brown Ale - American","Anheuser-Busch"
"152","Ono Extra Pale Ale",0.055,36,"Pale Ale - American","Anheuser-Busch"
"153","Cranberry Sour",0.057,11,"Sour - Ale","Anheuser-Busch"
"154","Bud Light Lime-A-Rita Picante",0.08,14,"Fruit Beer","Anheuser-Busch"
"155","Kennys Red Ale",0.049,24,"Red Ale - American Amber / Red","Anheuser-Busch"
"156","Oktoberfest: Marzen",0.053,13,"Märzen","Anheuser-Busch"
"157","Ancient Grain Beer",0.04,30,"Gluten-Free","Anheuser-Busch"
"158","Hattricks Red Ale",0.048,26,"Red Ale - Irish","Anheuser-Busch"
"159","Underground Collection: Date Night",0.04,11,"Lager - American Light","Anheuser-Busch"
"160","Underground Collection: Marilyn",0.059,16,"Blonde Ale","Anheuser-Busch"
"161","Natty RUSH Hurricane Punch 12%",0.12,28,"Malt Beer","Anheuser-Busch"
"162","Christmas Brew 1995",0.05,19,"Lager - American Amber / Red","Anheuser-Busch"
"163","96 Lager",0.044,17,"Lager - Euro","Anheuser-Busch"
"164","Underground Collection: Project Cardinal",0.051,26,"Märzen","Anheuser-Busch"
"165","Underground Collection: Spaceball",0.07,41,"Schwarzbier","Anheuser-Busch"
"166","Underground Collection: Area 51",0.054,40,"Lager - Pale","Anheuser-Busch"
"167","1904 American Red Lager",0.05,28,"Lager - Red","Anheuser-Busch"
"168","Underground Collection: Backdraft Stout",0.071,35,"Stout - American","Anheuser-Busch"
"169","Underground Collection: Gateway-Coast IPA",0.08,62,"IPA - Imperial / Double","Anheuser-Busch"
"170","Lobster Boat Ale",0.044,4,"Golden Ale","Anheuser-Busch"
"171","Underground Collection: Brown Bear",0.064,42,"Brown Ale - American","Anheuser-Busch"
"172","Underground Collection: Victory Lap",0.035,12,"Lager - Euro","Anheuser-Busch"
"173","Tiki Amber",0.049,24,"Red Ale - American Amber / Red","Anheuser-Busch"
"174","Budweiser Millennium",0.039,15,"Lager - American Light","Anheuser-Busch"
"175","Underground Collection: Hollywood",0.066,62,"IPA - American","Anheuser-Busch"
"176","Bratzel Bakery Bock",0.06,18,"Bock - Single / Traditional","Anheuser-Busch"
"177","Underground Collection: Cousin Eddie's Dunkel",0.052,17,"Dunkelweizen","Anheuser-Busch"
"178","Bubby's Brew",0.043,15,"Lager - American Light","Anheuser-Busch"
"179","Underground Collection: GusGusFun Brew",0.0607,10,"Schwarzbier","Anheuser-Busch"
"180","Rita Spritz-Rose White Peach",0.06,6,"Malt Liquor ","Anheuser-Busch"
"181","RPB - Marzen Rauchbier",0.057,21,"Rauchbier","Anheuser-Busch"
"182","Natty Rush Blue Frostbite 12%",0.12,28,"Malt Beer","Anheuser-Busch"
"183","Underground Collection: Monk",0.063,45,"Bock - Doppelbock","Anheuser-Busch"
"184","Underground Collection: How Now Black Cow",0.064,33,"Stout - Imperial Milk / Sweet","Anheuser-Busch"
"185","Share the Love of Hops",0.0571,92,"IPA - American","Anheuser-Busch"
"186","Underground Collection: Bambino",0.06,20,"Stout - American","Anheuser-Busch"
"187","Underground Collection: Hef-Eh?",0.052,12,"Hefeweizen","Anheuser-Busch"
"188","Underground Collection: Aloha, Beaches",0.048,29,"IPA - Session / India Session Ale","Anheuser-Busch"
"189","Ritas Sangria Spritz- Pear Orange",0.06,8,"Malt Liquor ","Anheuser-Busch"
"190","Red Tide",0.05,25,"Lager - American Amber / Red","Anheuser-Busch"
"191","Jack's Old 37 Ipa",0.056,28,"Imperial Pale Ale","Anheuser-Busch"
"192","Underground Collection: King Coconut",0.063,10,"Lager - Dark","Anheuser-Busch"
"193","Budweiser (China Export)",0.036,15,"Lager - American Light","Anheuser-Busch"
"194","Underground Collection: Sweet-Tart",0.052,6,"Sour - Ale","Anheuser-Busch"
"195","Boxer Bowtie",0.06,18,"Bock - Single / Traditional","Anheuser-Busch"
"196","Underground Collection: Black Magic",0.082,35,"Stout - Milk / Sweet","Anheuser-Busch"
"197","Natty RUSH Watermelon 12%",0.12,8,"Malt Liquor ","Anheuser-Busch"
"198","Lilly's Lager",0.06,24,"Lager - Amber","Anheuser-Busch"
"199","Underground Collection: Project Luau",0.07,20,"Saison / Farmhouse Ale","Anheuser-Busch"
"200","Breckenridge 50th Anniversary Amber Bock",0.06,18,"Bock - Single / Traditional","Anheuser-Busch"
"201","Asahi Super Dry",0.05,16,"Lager - Japanese Rice","Asahi Breweries"
"202","Asahi Black (Kuronama)",0.05,10,"Lager - Dark","Asahi Breweries"
"203","Asahi Dry Black",0.055,10,"Lager - Dark","Asahi Breweries"
"204","Brewmaster's Select Amber Lager",0.05,19,"Lager - American Amber / Red","Asahi Breweries"
"205","Asahi Super Dry Dry Premium",0.06,16,"Lager - Japanese Rice","Asahi Breweries"
"206","Clear Asahi",0.05,28,"Happoshu","Asahi Breweries"
"207","Honnama Draft (<U+672C><U+751F>)",0.055,28,"Happoshu","Asahi Breweries"
"208","Asahi Premium Beer Jukusen (<U+719F><U+64B0>)",0.055,16,"Lager - Japanese Rice","Asahi Breweries"
"209","Clear Asahi Prime Rich",0.06,28,"Happoshu","Asahi Breweries"
"210","Soukai",0.035,22,"Lager - Pale","Asahi Breweries"
"211","The Dream",0.05,22,"Lager - Pale","Asahi Breweries"
"212","Asahi Dry Zero",0.004,15,"Non-Alcoholic Beer","Asahi Breweries"
"213","Super Dry Shunrei Karakuchi (<U+77AC><U+51B7><U+8F9B><U+53E3>)",0.05,16,"Lager - Japanese Rice","Asahi Breweries"
"214","Style Free",0.04,28,"Happoshu","Asahi Breweries"
"215","Asahi Dry Premium Houjou (<U+30C9><U+30E9><U+30A4><U+30D7><U+30EC><U+30DF><U+30A2><U+30E0> <U+8C4A><U+91B8>)",0.065,16,"Lager - Japanese Rice","Asahi Breweries"
"216","Asahi Japan Gold",0.05,28,"Happoshu","Asahi Breweries"
"217","Löwenbräu All Malt",0.05,22,"Lager - Pale","Asahi Breweries"
"218","Asahi Stout",0.08,45,"Stout - Other","Asahi Breweries"
"219","Kohaku no Toki",0.055,28,"Lager - Munich Dunkel","Asahi Breweries"
"220","Asahi Red Eye",0.035,14,"Fruit Beer","Asahi Breweries"
"221","The Extra",0.065,19,"Pilsner - Other","Asahi Breweries"
"222","Gran Mild",0.07,16,"Lager - Japanese Rice","Asahi Breweries"
"223","Super Dry Extra Hard",0.055,16,"Lager - Japanese Rice","Asahi Breweries"
"224","Dry Pale Ale",0.055,36,"Pale Ale - American","Asahi Breweries"
"225","The Royal Label",0.05,22,"Lager - Pale","Asahi Breweries"
"226","Asahi Honnama Aqua Blue",0.05,28,"Happoshu","Asahi Breweries"
"227","Super Dry Extra Sharp",0.055,16,"Lager - Japanese Rice","Asahi Breweries"
"228","Clear Asahi Sakura no Utage",0.05,28,"Happoshu","Asahi Breweries"
"229","Clear Asahi Aki no Kohaku",0.06,28,"Happoshu","Asahi Breweries"
"230","Dry Porter",0.06,50,"Porter - Other","Asahi Breweries"
"231","Asahi Pacific Blue",0.05,16,"Lager - North American Adjunct","Asahi Breweries"
"232","The Master",0.055,19,"Pilsner - Other","Asahi Breweries"
"233","Asahi Super Dry Dry Premium Kaori no Kohaku [<U+9999><U+308A><U+306E><U+7425><U+73C0>]",0.055,16,"Lager - Japanese Rice","Asahi Breweries"
"234","Dry Saison",0.055,33,"Saison / Farmhouse Ale","Asahi Breweries"
"235","Asahi the Double",0.055,19,"Pilsner - Other","Asahi Breweries"
"236","Nama Beer 100 Nen no Kodawari (<U+751F><U+30D3><U+30FC><U+30EB> 100<U+5E74><U+306E><U+3053><U+3060><U+308F><U+308A>)",0.045,16,"Lager - Japanese Rice","Asahi Breweries"
"237","Super Dry Japan Special",0.055,16,"Lager - Japanese Rice","Asahi Breweries"
"238","Clear Asahi Ginjo",0.06,28,"Happoshu","Asahi Breweries"
"239","Shokuraku (<U+98DF><U+697D>)",0.06,16,"Lager - Japanese Rice","Asahi Breweries"
"240","Clear Asahi Clear Seven",0.07,28,"Happoshu","Asahi Breweries"
"241","Fuyu no Okurimono",0.05,28,"Happoshu","Asahi Breweries"
"242","Clear Asahi Aki no Utage (<U+30AF><U+30EA><U+30A2><U+30A2><U+30B5><U+30D2> <U+79CB><U+306E><U+5BB4>)",0.06,28,"Happoshu","Asahi Breweries"
"243","Asahi Super Dry Dry Premium Hatsu Jikomi Premium [<U+521D><U+4ED5><U+8FBC><U+307F><U+30D7><U+30EC><U+30DF><U+30A2><U+30E0>]",0.06,16,"Lager - Japanese Rice","Asahi Breweries"
"244","Dry Premium Houjou World Hop Selection Karei na Kaori (<U+8C4A><U+91B8><U+30EF><U+30FC><U+30EB><U+30C9><U+30DB><U+30C3><U+30D7><U+30BB><U+30EC><U+30AF><U+30B7><U+30E7><U+30F3> <U+83EF><U+9E97><U+306A><U+85AB><U+308A>)",0.06,16,"Lager - Japanese Rice","Asahi Breweries"
"245","Dry Marzen",0.06,22,"Märzen","Asahi Breweries"
"246","Clear Asahi Clear Black",0.05,28,"Happoshu","Asahi Breweries"
"247","Clear Asahi Zeitaku Zero",0.06,28,"Happoshu","Asahi Breweries"
"248","Asahi Off",0.035,28,"Happoshu","Asahi Breweries"
"249","Dry Premium Hojo Zeitaku Hatsujikomi",0.065,16,"Lager - Japanese Rice","Asahi Breweries"
"250","Azumabashi Pale Ale",0.06,28,"Pale Ale - English","Asahi Breweries"
"251","Delirium Tremens",0.085,26,"Belgian Strong Golden Ale","Baltika Breweries"
"252","Delirium Nocturnum",0.085,26,"Belgian Strong Dark Ale","Baltika Breweries"
"253","Delirium Noël / Christmas",0.1,20,"Winter Ale","Baltika Breweries"
"254","Delirium Red",0.08,10,"Fruit Beer","Baltika Breweries"
"255","La Guillotine",0.085,40,"Belgian Strong Golden Ale","Baltika Breweries"
"256","Früli Strawberry Beer",0.041,14,"Fruit Beer","Baltika Breweries"
"257","Averbode",0.075,38,"Belgian Strong Golden Ale","Baltika Breweries"
"258","Delirium Argentum",0.07,55,"Belgian Strong Golden Ale","Baltika Breweries"
"259","Deliria",0.085,40,"Belgian Strong Golden Ale","Baltika Breweries"
"260","Floris Apple",0.036,14,"Fruit Beer","Baltika Breweries"
"261","St. Idesbald Blonde",0.065,28,"Blonde Ale - Belgian Blonde / Golden","Baltika Breweries"
"262","St. Idesbald Tripel",0.09,26,"Belgian Tripel","Baltika Breweries"
"263","Floris Framboise",0.036,14,"Fruit Beer","Baltika Breweries"
"264","Floris Kriek",0.036,14,"Fruit Beer","Baltika Breweries"
"265","Floris Chocolat",0.042,28,"Spiced / Herbed Beer","Baltika Breweries"
"266","Blanche des Neiges",0.048,12,"Witbier","Baltika Breweries"
"267","Campus Premium",0.05,22,"Lager - Pale","Baltika Breweries"
"268","La Mère Noël",0.085,18,"Winter Ale","Baltika Breweries"
"269","Artevelde Grand Cru",0.072,28,"Dark Ale","Baltika Breweries"
"270","Floris Passion",0.036,14,"Fruit Beer","Baltika Breweries"
"271","La Bouffonne",0.09,40,"Belgian Strong Golden Ale","Baltika Breweries"
"272","Floris Wit - Blanche",0.048,14,"Witbier","Baltika Breweries"
"273","Floris Fraise",0.036,14,"Fruit Beer","Baltika Breweries"
"274","St. Idesbald Dubbel",0.08,20,"Belgian Dubbel","Baltika Breweries"
"275","Belgian Cherry Wheat Beer",0.035,14,"Fruit Beer","Baltika Breweries"
"276","Mexican Imperial Stout",0.09,65,"Stout - American Imperial / Double","Calavera"
"277","American Pale Ale",0.065,35,"Pale Ale - American","Calavera"
"278","Calavera Tripel de Abadía",0.085,25,"Belgian Tripel","Calavera"
"279","Calavera Dubbel de Abadia",0.064,19,"Belgian Dubbel","Calavera"
"280","Witbier",0.048,13,"Witbier","Calavera"
"281","Morning Star",0.078,80,"IPA - American","Calavera"
"282","Ofrenda",0.1,27,"Belgian Tripel","Calavera"
"283","Mjolnir",0.08,70,"IPA - Imperial / Double","Calavera"
"284","Ruta Maya",0.06,19,"Belgian Strong Dark Ale","Calavera"
"285","Corazón Negro",0.12,65,"Stout - Imperial / Double","Calavera"
"286","Güera Galáctica",0.04,23,"Blonde Ale","Calavera"
"287","Calavera Smoky Scottish Ale 80/-",0.054,15,"Smoked Beer","Calavera"
"288","Penumbra",0.045,26,"Schwarzbier","Calavera"
"289","Maquahuitl",0.065,70,"IPA - Black / Cascadian Dark Ale","Calavera"
"290","Sanctum",0.08,21,"Bock - Weizenbock","Calavera"
"291","Sangre De Unicornio",0.03,14,"Fruit Beer","Calavera"
"292","Ofrenda 2015",0.1,27,"Belgian Tripel","Calavera"
"293","Quintaesencia",0.12,27,"Other","Calavera"
"294","Corazón Amargo",0.09,28,"IPA - International","Calavera"
"295","Pacto",0.052,28,"Lager - Munich Dunkel","Calavera"
"296","Sanctum 2012",0.065,11,"Hefeweizen","Calavera"
"297","Ofrenda 2017",0.1,27,"Belgian Tripel","Calavera"
"298","Sanctum 2017",0.075,21,"Bock - Weizenbock","Calavera"
"299","Ofrenda 2016",0.1,27,"Belgian Tripel","Calavera"
"300","Calavera Oktobeerfest",0.056,22,"Märzen","Calavera"
"301","Project X",0.055,28,"Brown Ale - American","Calavera"
"302","Schwarzbier",0.053,26,"Schwarzbier","Calavera"
"303","Mr. Punch",0.048,32,"Brown Ale - English","Calavera"
"304","10 Aniversario",0.1,25,"Belgian Tripel","Calavera"
"305","BeerCentenario",0.09,28,"Barleywine - English","Calavera"
"306","SMASH",0.07,69,"IPA - American","Calavera"
"307","Yule 2018",0.1,30,"Belgian Strong Dark Ale","Calavera"
"308","Buen Día",0.08,50,"IPA - Belgian","Calavera"
"309","Project X 02",0.08,28,"Dark Ale","Calavera"
"310","Megablend",0.058,11,"Sour - Ale","Calavera"
"311","Calavera Ofrenda 2018",0.1,27,"Belgian Tripel","Calavera"
"312","Breakfast IPA",0.07,28,"IPA - International","Calavera"
"313","Cabrito Negro",0.054,10,"Lager - Dark","Calavera"
"314","Carlsberg",0.05,8,"Lager - Euro","Carlsberg"
"315","Tuborg Grøn",0.046,18,"Pilsner - Other","Carlsberg"
"316","Somersby Apple Cider",0.045,28,"Cider - Sweet","Carlsberg"
"317","Elephant",0.072,28,"Lager - Euro Strong","Carlsberg"
"318","Tuborg Classic",0.046,17,"Lager - Euro","Carlsberg"
"319","Tuborg Guld/Gold",0.056,22,"Lager - Pale","Carlsberg"
"320","Carlsberg Pilsner (Hof)",0.042,25,"Pilsner - Other","Carlsberg"
"321","Carlsberg Sort Guld/Black Gold",0.058,40,"Lager - Helles","Carlsberg"
"322","Carlsberg Export",0.05,8,"Lager - Euro","Carlsberg"
"323","Tuborg Julebryg",0.056,28,"Lager - Winter","Carlsberg"
"324","Brewmasters Collection India Pale Ale",0.052,45,"IPA - English","Carlsberg"
"325","Somersby Blackberry",0.045,28,"Cider - Other Fruit","Carlsberg"
"326","Carlsberg Non Alcoholic",0.005,25,"Non-Alcoholic Beer","Carlsberg"
"327","Somersby Pear Cider",0.045,28,"Cider - Perry","Carlsberg"
